CODE,DESCRIPTION,DEPARTMENT,STANDARDCOST,LASTCOST,AVERAGECOST,PRICE1,PRICE4,SUPPLIER,DISCONTINUE
32,Plain Elbow,13,0.4,0.3478,0.3478,0.6,0.6,161.0,False
33,GlassJuice,18,0.7,0.7,0.7,1.0,0.0,8.0,True
34,Exo,13,1.6,1.8349,1.8349,2.7,2.7,0.0,True
35,Chivas Whisky1000ml,14,150.0,150.0,150.0,170.0,0.0,0.0,True
36,Sambucca black shots,21,7.0,7.0,7.0,5.0,10.0,0.0,False
37,Plain Tee,13,0.6,0.5218,0.5218,0.8,0.8,161.0,False
38,chillies,10,0.8,0.8696,0.8696,1.0,1.0,2.0,True
39,Chicken17,15,15.44,13.7178,13.6705,19.0,19.0,30.0,True
40,coca cola,2,0.0,0.0,0.0,0.0,0.0,8.0,True
41,Bara,11,0.08,0.08,0.08,0.1,0.0,0.0,True
42,Flip Flops,13,3.0,3.4348,3.5201,10.0,12.0,50.0,False
43,Wifi,13,4.0,4.0,4.0,5.0,0.0,50.0,True
44,Mentos,12,0.75,0.1835,0.1835,0.5,0.0,46.0,True
45,Socks,12,0.8,0.7263,0.7263,1.5,0.0,0.0,True
46,True Love,15,0.8,0.6078,0.6561,1.2,0.0,15.0,True
47,Fijisun,13,1.2,1.2,1.2,1.4,0.0,0.0,True
48,Meat Bird,15,5.0,5.0,5.0,7.0,0.0,0.0,True
49,Sixers,12,0.3,0.2752,0.2752,0.5,0.0,60.0,True
50,Body Spray,13,2.97,3.2003,3.2003,6.0,0.0,41.0,True
51,Suki Moro,16,1.2,0.8696,0.8696,2.0,3.0,0.0,False
52,Thermal Paper,13,0.9,1.9131,1.9131,4.0,0.0,18.0,False
53,Soap Powder400g,13,1.12,2.0184,2.4771,3.0,0.0,0.0,False
54,CD case,13,2.0,2.0,2.0,3.0,0.0,0.0,True
55,Godrej Aer Pocket Fragrance,13,1.8,1.8017,1.8017,1.8,0.0,28.0,True
56,Klin Maid500ml,13,2.81,4.2609,4.2609,3.8,0.0,18.0,True
57,Plain Socket,13,0.3,0.2609,0.2609,0.5,0.5,161.0,False
58,Tamarind Candy,12,0.07,0.0375,0.0382,0.1,0.0,45.0,False
59,tamarind candy,8,0.04,40000.0,40000.0,0.1,0.0,45.0,True
60,Frooto 250ml,18,1.0,0.9174,0.9174,1.5,0.0,0.0,True
61,Choco Date 56g,12,1.2,1.1009,1.1009,0.5,0.0,0.0,True
62,PVC Stop End,13,0.2,0.1739,0.1739,0.4,0.4,161.0,False
63,Super star 32g,12,0.92,0.841,0.841,1.5,2.0,52.0,True
64,Vicks,13,1.5,1.1315,1.1315,2.0,2.0,22.0,False
65,ORG Panadol,24,1.92,1.789,1.789,3.0,0.0,22.0,False
66,Cheeze Ring,12,1.6,1.4679,1.4679,2.5,0.0,45.0,True
67,Chardin Gel,13,1.65,1.8349,1.8349,2.5,0.0,45.0,False
68,6packGold750ml,14,24.0,26.5998,26.6028,40.0,60.0,0.0,False
69,Trojan,13,0.8,0.8,0.8,2.0,0.0,12.0,False
70,Checkout Bag,13,0.3,0.2043,0.2042,0.5,0.0,8.0,False
71,Choka Top Gold,15,0.0,0.8532,0.8501,1.2,0.0,15.0,True
72,Babylon,12,0.3,0.2752,0.2752,0.5,0.0,0.0,True
73,Straw,13,0.0,0.0345,0.0345,0.2,0.0,6.0,False
